algorithm,input_size,case_type,trial_id,probes,time_taken,memory_used,found,load_factor,collision_count
binary_search,40,best_case,1,5,4.489999992074445e-05,1496,True,,
interpolation_search,40,best_case,1,5,4.280000212020241e-05,1496,True,,
exponential_search,40,best_case,1,11,6.22000006842427e-05,1496,True,,
fibonacci_search,40,best_case,1,1,1.9800001609837636e-05,1496,True,,
hashing_search,40,best_case,1,2,7.929999992484227e-05,1496,True,2.0,24
linear_search,40,best_case,2,25,1.6199999663513154e-05,1496,True,,
binary_search,40,best_case,2,5,2.019999737967737e-05,1496,True,,
interpolation_search,40,best_case,2,2,1.880000127130188e-05,1496,True,,
exponential_search,40,best_case,2,11,1.8399998225504532e-05,1496,True,,
fibonacci_search,40,best_case,2,1,2.550000135670416e-05,1496,True,,
hashing_search,40,best_case,2,3,7.560000085504726e-05,1496,True,2.0,22
linear_search,40,best_case,3,26,2.0399998902576044e-05,1496,True,,
binary_search,40,best_case,3,5,1.7000002117129043e-05,1496,True,,
interpolation_search,40,best_case,3,3,2.4400000256719068e-05,1496,True,,
exponential_search,40,best_case,3,11,2.6699999580159783e-05,1496,True,,
fibonacci_search,40,best_case,3,1,1.7000002117129043e-05,1496,True,,
hashing_search,40,best_case,3,2,0.0001188000023830682,1496,True,2.0,21
linear_search,40,best_case,4,36,3.0499999411404133e-05,1496,True,,
binary_search,40,best_case,4,5,3.5799999750452116e-05,1496,True,,
interpolation_search,40,best_case,4,2,3.5099998058285564e-05,1496,True,,
exponential_search,40,best_case,4,11,3.6699999327538535e-05,1496,True,,
fibonacci_search,40,best_case,4,1,2.519999907235615e-05,1496,True,,
hashing_search,40,best_case,4,1,0.00010420000035082921,1496,True,2.0,22
linear_search,40,best_case,5,25,2.6199999410891905e-05,1496,True,,
binary_search,40,best_case,5,5,3.4599997889017686e-05,1496,True,,
interpolation_search,40,best_case,5,3,3.9200000173877925e-05,1496,True,,
exponential_search,40,best_case,5,11,5.270000110613182e-05,1496,True,,
fibonacci_search,40,best_case,5,1,3.849999848171137e-05,1496,True,,
hashing_search,40,best_case,5,2,0.00012000000060652383,1496,True,2.0,23
linear_search,50,best_case,1,45,3.1200001103570685e-05,1856,True,,
binary_search,50,best_case,1,5,3.1200001103570685e-05,1856,True,,
interpolation_search,50,best_case,1,2,2.710000262595713e-05,1856,True,,
exponential_search,50,best_case,1,11,3.0100000003585592e-05,1856,True,,
fibonacci_search,50,best_case,1,3,1.8999999156221747e-05,1856,True,,
hashing_search,50,best_case,1,5,0.00012630000128410757,1856,True,2.0,30
linear_search,50,best_case,2,50,4.319999789004214e-05,1856,True,,
binary_search,50,best_case,2,5,3.110000034212135e-05,1856,True,,
interpolation_search,50,best_case,2,3,3.77000033040531e-05,1856,True,,
exponential_search,50,best_case,2,11,4.220000118948519e-05,1856,True,,
fibonacci_search,50,best_case,2,3,2.5899997126543894e-05,1856,True,,
hashing_search,50,best_case,2,3,7.990000085555948e-05,1856,True,2.0,29
linear_search,50,best_case,3,18,2.8599999495781958e-05,1856,True,,
binary_search,50,best_case,3,5,2.42000023717992e-05,1856,True,,
interpolation_search,50,best_case,3,1,3.600000127335079e-05,1856,True,,
exponential_search,50,best_case,3,11,3.8300000596791506e-05,1856,True,,
fibonacci_search,50,best_case,3,3,2.7900001441594213e-05,1856,True,,
hashing_search,50,best_case,3,1,9.26000029721763e-05,1856,True,2.0,29
linear_search,50,best_case,4,37,1.9400002202019095e-05,1856,True,,
binary_search,50,best_case,4,5,2.300000051036477e-05,1856,True,,
interpolation_search,50,best_case,4,4,3.389999983482994e-05,1856,True,,
exponential_search,50,best_case,4,11,2.59000007645227e-05,1856,True,,
fibonacci_search,50,best_case,4,3,2.6999998226528987e-05,1856,True,,
hashing_search,50,best_case,4,5,8.570000136387534e-05,1856,True,2.0,26
linear_search,50,best_case,5,40,2.5000001187436283e-05,1856,True,,
binary_search,50,best_case,5,5,2.2899999748915434e-05,1856,True,,
interpolation_search,50,best_case,5,2,1.939999856404029e-05,1856,True,,
exponential_search,50,best_case,5,11,1.7800000932766125e-05,1856,True,,
fibonacci_search,50,best_case,5,3,1.4500001270789653e-05,1856,True,,
hashing_search,50,best_case,5,2,0.00010269999984302558,1856,True,2.0,29
linear_search,60,best_case,1,26,1.8599999748403206e-05,2216,True,,
binary_search,60,best_case,1,5,2.840000161086209e-05,2216,True,,
interpolation_search,60,best_case,1,2,5.239999882178381e-05,2216,True,,
exponential_search,60,best_case,1,10,4.650000118999742e-05,2216,True,,
fibonacci_search,60,best_case,1,6,2.4599998141638935e-05,2216,True,,
hashing_search,60,best_case,1,1,0.00013600000238511711,2216,True,2.0,33
linear_search,60,best_case,2,23,3.179999839630909e-05,2216,True,,
binary_search,60,best_case,2,5,3.149999974993989e-05,2216,True,,
interpolation_search,60,best_case,2,4,3.170000127283856e-05,2216,True,,
exponential_search,60,best_case,2,10,2.800000220304355e-05,2216,True,,
fibonacci_search,60,best_case,2,6,3.97000003431458e-05,2216,True,,
hashing_search,60,best_case,2,1,9.929999941959977e-05,2216,True,2.0,31
linear_search,60,best_case,3,33,4.229999831295572e-05,2216,True,,
