trial_id,probes,time_taken,memory_used,found,load_factor,collision_count
1,3,2.0700001186924052e-05,416,True,,
2,1,1.599999814061448e-05,416,True,,
3,3,2.5600002118153498e-05,416,True,,
4,3,2.1699997887481004e-05,416,True,,
5,2,2.1600000764010477e-05,416,True,,
1,3,3.230000220355578e-05,416,True,,
2,3,2.170000152545981e-05,416,True,,
3,3,1.0100000508828089e-05,416,True,,
4,3,2.099999983329326e-05,416,True,,
5,3,1.7399997886968777e-05,416,True,,
1,2,7.360000017797574e-05,416,True,,
2,3,2.2899999748915437e-05,416,True,,
3,3,2.4000000848900527e-05,416,True,,
4,3,2.060000042547472e-05,416,True,,
5,3,1.8200000340584666e-05,416,True,,
1,4,1.7700000171316788e-05,416,False,,
2,4,1.460000203223899e-05,416,False,,
3,4,1.7899998056236655e-05,416,False,,
4,4,1.2399999832268804e-05,416,False,,
5,4,1.37999995786231e-05,416,False,,
1,4,2.089999907184392e-05,416,True,,
2,4,3.140000262646936e-05,416,True,,
3,4,2.2100000933278352e-05,416,True,,
4,4,2.2300002456177023e-05,416,True,,
5,4,1.6600002709310502e-05,416,True,,
1,5,3.03999986499548e-05,776,True,,
2,2,2.589999712654389e-05,776,True,,
3,2,3.550000110408291e-05,776,True,,
4,4,1.790000169421546e-05,776,True,,
5,4,1.1600001016631722e-05,776,True,,
1,4,1.0300002031726764e-05,776,True,,
2,4,1.4099998224992303e-05,776,True,,
3,4,1.889999839477241e-05,776,True,,
4,4,1.80000024556648e-05,776,True,,
5,4,2.5299999833805487e-05,776,True,,
1,2,2.3399999918183312e-05,776,True,,
2,3,2.989999848068692e-05,776,True,,
3,4,2.390000008745119e-05,776,True,,
4,3,2.550000135670416e-05,776,True,,
5,5,3.2100000680657104e-05,776,True,,
1,5,2.459999814163893e-05,776,False,,
2,5,2.2100000933278352e-05,776,False,,
3,5,1.7899998056236655e-05,776,False,,
4,5,2.11000005947426e-05,776,False,,
5,5,1.889999839477241e-05,776,False,,
1,5,1.8599999748403206e-05,776,True,,
2,5,1.4599998394260185e-05,776,True,,
3,5,1.720000000204891e-05,776,True,,
4,5,2.7999998565064743e-05,776,True,,
5,5,2.8299997211433947e-05,776,True,,
1,4,1.799999881768599e-05,1136,True,,
2,5,1.6699999832781032e-05,1136,True,,
3,4,3.49000001733657e-05,1136,True,,
4,5,3.2100000680657104e-05,1136,True,,
5,1,1.4300003385869786e-05,1136,True,,
1,5,3.099999958067201e-05,1136,True,,
2,5,1.6500001947861165e-05,1136,True,,
3,5,1.6599999071331695e-05,1136,True,,
4,5,2.350000067963265e-05,1136,True,,
5,5,1.7499998648418114e-05,1136,True,,
1,4,3.2199997804127634e-05,1136,True,,
2,5,3.730000025825575e-05,1136,True,,
3,3,3.780000042752363e-05,1136,True,,
4,3,3.639999704319053e-05,1136,True,,
5,4,2.269999822601676e-05,1136,True,,
1,5,2.130000211764127e-05,1136,False,,
2,5,2.8200000087963417e-05,1136,False,,
3,5,2.13999992411118e-05,1136,False,,
4,5,1.7400001524947584e-05,1136,False,,
5,5,3.149999974993989e-05,1136,False,,
1,5,1.840000186348334e-05,1136,True,,
2,5,1.8700000509852543e-05,1136,True,,
3,5,1.80000024556648e-05,1136,True,,
4,5,1.590000101714395e-05,1136,True,,
5,5,2.200000017182901e-05,1136,True,,
1,5,1.920000067912042e-05,1496,True,,
2,5,2.229999881819822e-05,1496,True,,
3,3,1.5400000847876072e-05,1496,True,,
4,5,2.510000194888562e-05,1496,True,,
5,6,3.369999831193127e-05,1496,True,,
1,5,4.489999992074445e-05,1496,True,,
2,5,2.019999737967737e-05,1496,True,,
3,5,1.7000002117129043e-05,1496,True,,
4,5,3.579999975045212e-05,1496,True,,
5,5,3.4599997889017686e-05,1496,True,,
1,2,2.9200000426499173e-05,1496,True,,
2,4,2.000000313273631e-05,1496,True,,
3,3,2.89999989036005e-05,1496,True,,
4,6,3.559999822755344e-05,1496,True,,
5,3,3.480000304989517e-05,1496,True,,
1,6,2.939999831141904e-05,1496,False,,
2,6,2.1800002286909148e-05,1496,False,,
3,6,2.349999704165384e-05,1496,False,,
4,6,1.7799997294787318e-05,1496,False,,
5,6,2.399999721092172e-05,1496,False,,
1,6,2.010000025620684e-05,1496,True,,
2,6,2.8800001018680632e-05,1496,True,,
3,6,2.429999949526973e-05,1496,True,,
4,6,1.819999670260586e-05,1496,True,,
5,6,1.8900002032751217e-05,1496,True,,
1,6,3.3399999665562063e-05,1856,True,,
2,5,2.189999941037968e-05,1856,True,,
3,5,2.600000152597204e-05,1856,True,,
