algorithm,input_size,data_type,trial_id,comparisons,swaps,time_taken,memory_used,presortedness_score,duplicate_ratio,value_range
bubble_sort,10,random,1,44,30,3.890000152750872e-05,416,0.3333,0.0,88143
selection_sort,10,random,1,45,8,2.519999907235615e-05,416,0.3333,0.0,88143
insertion_sort,10,random,1,36,30,2.5800000003073364e-05,416,0.3333,0.0,88143
merge_sort,10,random,1,22,34,7.410000034724362e-05,416,0.3333,0.0,88143
quick_sort,10,random,1,29,24,7.240000195452012e-05,416,0.3333,0.0,88143
heap_sort,10,random,1,37,24,5.709999823011458e-05,416,0.3333,0.0,88143
radix_sort,10,random,1,0,50,0.0001115000013669,416,0.3333,0.0,88143
bubble_sort,10,random,2,45,30,2.7400001272326332e-05,416,0.3333,0.0,79723
selection_sort,10,random,2,45,8,2.049999966402538e-05,416,0.3333,0.0,79723
insertion_sort,10,random,2,37,30,1.9999999494757503e-05,416,0.3333,0.0,79723
merge_sort,10,random,2,23,34,5.600000076810829e-05,416,0.3333,0.0,79723
quick_sort,10,random,2,21,18,4.619999890564941e-05,416,0.3333,0.0,79723
heap_sort,10,random,2,39,24,7.919999916339293e-05,416,0.3333,0.0,79723
radix_sort,10,random,2,0,50,9.48999986576382e-05,416,0.3333,0.0,79723
bubble_sort,10,random,3,45,24,2.42000023717992e-05,416,0.4667,0.0,93621
selection_sort,10,random,3,45,8,1.799999881768599e-05,416,0.4667,0.0,93621
insertion_sort,10,random,3,33,24,1.680000059423037e-05,416,0.4667,0.0,93621
merge_sort,10,random,3,23,34,5.400000009103678e-05,416,0.4667,0.0,93621
quick_sort,10,random,3,28,22,4.790000093635172e-05,416,0.4667,0.0,93621
heap_sort,10,random,3,39,26,4.839999746764079e-05,416,0.4667,0.0,93621
radix_sort,10,random,3,0,50,8.879999950295314e-05,416,0.4667,0.0,93621
bubble_sort,10,random,4,45,27,2.429999949526973e-05,416,0.4,0.0,88516
selection_sort,10,random,4,45,5,1.849999898695387e-05,416,0.4,0.0,88516
insertion_sort,10,random,4,34,27,1.7300000763498247e-05,416,0.4,0.0,88516
merge_sort,10,random,4,20,34,5.109999983687885e-05,416,0.4,0.0,88516
quick_sort,10,random,4,27,23,5.249999958323315e-05,416,0.4,0.0,88516
heap_sort,10,random,4,39,27,4.8000001697801054e-05,416,0.4,0.0,88516
radix_sort,10,random,4,0,50,8.919999891077168e-05,416,0.4,0.0,88516
bubble_sort,10,random,5,39,23,2.060000042547472e-05,416,0.4889,0.0,81657
selection_sort,10,random,5,45,7,1.8200000340584666e-05,416,0.4889,0.0,81657
insertion_sort,10,random,5,32,23,1.509999856352806e-05,416,0.4889,0.0,81657
merge_sort,10,random,5,22,34,5.109999983687885e-05,416,0.4889,0.0,81657
quick_sort,10,random,5,30,17,4.910000279778615e-05,416,0.4889,0.0,81657
heap_sort,10,random,5,37,25,4.669999907491729e-05,416,0.4889,0.0,81657
radix_sort,10,random,5,0,50,0.0001174000026367,416,0.4889,0.0,81657
bubble_sort,20,random,1,189,103,7.14999987394549e-05,776,0.4579,0.0,84830
selection_sort,20,random,1,190,17,4.640000042854808e-05,776,0.4579,0.0,84830
insertion_sort,20,random,1,119,103,4.540000009001233e-05,776,0.4579,0.0,84830
merge_sort,20,random,1,66,88,0.0001212999995914,776,0.4579,0.0,84830
quick_sort,20,random,1,65,41,9.139999747276306e-05,776,0.4579,0.0,84830
heap_sort,20,random,1,115,71,0.0001160000028903,776,0.4579,0.0,84830
radix_sort,20,random,1,0,100,0.0001446999995096,776,0.4579,0.0,84830
bubble_sort,20,random,2,175,109,6.959999882383272e-05,776,0.4263,0.0,93202
selection_sort,20,random,2,190,17,4.600000102072954e-05,776,0.4263,0.0,93202
insertion_sort,20,random,2,125,109,4.86999997519888e-05,776,0.4263,0.0,93202
merge_sort,20,random,2,67,88,0.0001209000001836,776,0.4263,0.0,93202
quick_sort,20,random,2,64,48,8.779999916441739e-05,776,0.4263,0.0,93202
heap_sort,20,random,2,118,73,0.0001460000021324,776,0.4263,0.0,93202
radix_sort,20,random,2,0,100,0.0001439999978174,776,0.4263,0.0,93202
bubble_sort,20,random,3,162,78,5.9300000430084765e-05,776,0.5895,0.0,96174
selection_sort,20,random,3,190,16,4.749999789055437e-05,776,0.5895,0.0,96174
insertion_sort,20,random,3,95,78,3.780000042752363e-05,776,0.5895,0.0,96174
merge_sort,20,random,3,66,88,0.000118799998745,776,0.5895,0.0,96174
quick_sort,20,random,3,82,54,9.869999848888256e-05,776,0.5895,0.0,96174
heap_sort,20,random,3,115,74,0.0001176999976451,776,0.5895,0.0,96174
radix_sort,20,random,3,0,100,0.0001455999990866,776,0.5895,0.0,96174
bubble_sort,20,random,4,189,88,7.049999840091914e-05,776,0.5368,0.0,91555
selection_sort,20,random,4,190,14,4.600000102072954e-05,776,0.5368,0.0,91555
insertion_sort,20,random,4,107,88,3.7999998312443495e-05,776,0.5368,0.0,91555
merge_sort,20,random,4,66,88,0.000119899999845,776,0.5368,0.0,91555
quick_sort,20,random,4,75,38,0.0001244999984919,776,0.5368,0.0,91555
heap_sort,20,random,4,116,74,0.0001176000005216,776,0.5368,0.0,91555
radix_sort,20,random,4,0,100,0.0001443000001017,776,0.5368,0.0,91555
bubble_sort,20,random,5,175,98,6.519999806187116e-05,776,0.4842,0.0,91528
selection_sort,20,random,5,190,18,4.690000059781596e-05,776,0.4842,0.0,91528
insertion_sort,20,random,5,114,98,4.319999789004214e-05,776,0.4842,0.0,91528
merge_sort,20,random,5,68,88,0.0001202000021294,776,0.4842,0.0,91528
quick_sort,20,random,5,61,49,8.969999908003956e-05,776,0.4842,0.0,91528
heap_sort,20,random,5,113,68,0.0001110000011976,776,0.4842,0.0,91528
radix_sort,20,random,5,0,100,0.0001413999998476,776,0.4842,0.0,91528
bubble_sort,30,random,1,425,195,0.0002091000023938,1136,0.5517,0.0,88329
selection_sort,30,random,1,435,25,0.0001398000022163,1136,0.5517,0.0,88329
insertion_sort,30,random,1,222,195,7.700000060140155e-05,1136,0.5517,0.0,88329
merge_sort,30,random,1,112,148,0.0002466999976604,1136,0.5517,0.0,88329
quick_sort,30,random,1,112,83,0.0001539999975648,1136,0.5517,0.0,88329
heap_sort,30,random,1,209,127,0.0001766000023053,1136,0.5517,0.0,88329
radix_sort,30,random,1,0,150,0.0001759999977366,1136,0.5517,0.0,88329
bubble_sort,30,random,2,420,248,0.0001436000020476,1136,0.4299,0.0,90318
selection_sort,30,random,2,435,28,9.250000221072696e-05,1136,0.4299,0.0,90318
insertion_sort,30,random,2,274,248,9.140000111074188e-05,1136,0.4299,0.0,90318
merge_sort,30,random,2,112,148,0.0001991999997699,1136,0.4299,0.0,90318
quick_sort,30,random,2,133,68,0.0001278999989153,1136,0.4299,0.0,90318
heap_sort,30,random,2,199,116,0.0001666999996814,1136,0.4299,0.0,90318
radix_sort,30,random,2,0,150,0.0001766999994288,1136,0.4299,0.0,90318
bubble_sort,30,random,3,425,151,0.0001253000009455,1136,0.6529,0.0,88859
selection_sort,30,random,3,435,25,9.159999899566174e-05,1136,0.6529,0.0,88859
insertion_sort,30,random,3,178,151,5.869999949936755e-05,1136,0.6529,0.0,88859
merge_sort,30,random,3,112,148,0.000168599999597,1136,0.6529,0.0,88859
quick_sort,30,random,3,147,91,0.0001421000015398,1136,0.6529,0.0,88859
heap_sort,30,random,3,210,129,0.0001797000004444,1136,0.6529,0.0,88859
radix_sort,30,random,3,0,150,0.0001983000001928,1136,0.6529,0.0,88859
