input_size,comparisons,swaps_or_shifts,presortedness_score,duplicate_ratio,value_range,probes,collision_count,domain,algorithm,input_condition
30,0.0,150.0,0.4299,0.0,90318.0,0.0,0.0,sorting,radix_sort,random
30,425.0,151.0,0.6529,0.0,88859.0,0.0,0.0,sorting,bubble_sort,random
30,435.0,25.0,0.6529,0.0,88859.0,0.0,0.0,sorting,selection_sort,random
30,178.0,151.0,0.6529,0.0,88859.0,0.0,0.0,sorting,insertion_sort,random
30,147.0,91.0,0.6529,0.0,88859.0,0.0,0.0,sorting,quick_sort,random
30,210.0,129.0,0.6529,0.0,88859.0,0.0,0.0,sorting,heap_sort,random
30,0.0,150.0,0.6529,0.0,88859.0,0.0,0.0,sorting,radix_sort,random
30,399.0,241.0,0.446,0.0,92123.0,0.0,0.0,sorting,bubble_sort,random
30,435.0,27.0,0.446,0.0,92123.0,0.0,0.0,sorting,selection_sort,random
30,268.0,241.0,0.446,0.0,92123.0,0.0,0.0,sorting,insertion_sort,random
30,120.0,77.0,0.446,0.0,92123.0,0.0,0.0,sorting,quick_sort,random
30,196.0,119.0,0.446,0.0,92123.0,0.0,0.0,sorting,heap_sort,random
30,0.0,150.0,0.446,0.0,92123.0,0.0,0.0,sorting,radix_sort,random
30,369.0,189.0,0.5655,0.0,95474.0,0.0,0.0,sorting,bubble_sort,random
30,435.0,25.0,0.5655,0.0,95474.0,0.0,0.0,sorting,selection_sort,random
30,216.0,189.0,0.5655,0.0,95474.0,0.0,0.0,sorting,insertion_sort,random
30,109.0,79.0,0.5655,0.0,95474.0,0.0,0.0,sorting,quick_sort,random
30,196.0,121.0,0.5655,0.0,95474.0,0.0,0.0,sorting,heap_sort,random
30,0.0,150.0,0.5655,0.0,95474.0,0.0,0.0,sorting,radix_sort,random
40,770.0,403.0,0.4833,0.0,96667.0,0.0,0.0,sorting,bubble_sort,random
40,780.0,37.0,0.4833,0.0,96667.0,0.0,0.0,sorting,selection_sort,random
40,164.0,216.0,0.4833,0.0,96667.0,0.0,0.0,sorting,merge_sort,random
40,195.0,111.0,0.4833,0.0,96667.0,0.0,0.0,sorting,quick_sort,random
40,314.0,185.0,0.4833,0.0,96667.0,0.0,0.0,sorting,heap_sort,random
40,0.0,200.0,0.4833,0.0,96667.0,0.0,0.0,sorting,radix_sort,random
40,770.0,439.0,0.4372,0.0,93741.0,0.0,0.0,sorting,bubble_sort,random
40,780.0,35.0,0.4372,0.0,93741.0,0.0,0.0,sorting,selection_sort,random
40,164.0,216.0,0.4372,0.0,93741.0,0.0,0.0,sorting,merge_sort,random
40,178.0,112.0,0.4372,0.0,93741.0,0.0,0.0,sorting,quick_sort,random
40,307.0,183.0,0.4372,0.0,93741.0,0.0,0.0,sorting,heap_sort,random
40,0.0,200.0,0.4372,0.0,93741.0,0.0,0.0,sorting,radix_sort,random
40,735.0,359.0,0.5397,0.0,96472.0,0.0,0.0,sorting,bubble_sort,random
40,780.0,37.0,0.5397,0.0,96472.0,0.0,0.0,sorting,selection_sort,random
40,155.0,216.0,0.5397,0.0,96472.0,0.0,0.0,sorting,merge_sort,random
40,195.0,141.0,0.5397,0.0,96472.0,0.0,0.0,sorting,quick_sort,random
40,302.0,181.0,0.5397,0.0,96472.0,0.0,0.0,sorting,heap_sort,random
40,0.0,200.0,0.5397,0.0,96472.0,0.0,0.0,sorting,radix_sort,random
40,752.0,364.0,0.5333,0.0,97482.0,0.0,0.0,sorting,bubble_sort,random
40,780.0,34.0,0.5333,0.0,97482.0,0.0,0.0,sorting,selection_sort,random
40,169.0,216.0,0.5333,0.0,97482.0,0.0,0.0,sorting,merge_sort,random
40,197.0,121.0,0.5333,0.0,97482.0,0.0,0.0,sorting,quick_sort,random
